Words	Pseudoword	Included	Sound	Action	Letters	n_Syllables	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean																																																																
Gebläse	Vekräle	1	1	0	7	3	4,94	1,24	2,94	1,39	1,8	1,32	4,88	1,45	0,47	2,57	210971,48	161860,54	0	0	0	0,83	0,82	884	0,58	0,55	1041,42																																																																
Gitarre	Bolarre	1	1	1	7	3	5,72	0,67	5,56	0,62	4,28	1,32	5,83	0,71	2,6	1,28	258821,5	156449,19	0	0	0	1	1	691,42	1	1	693,58																																																																
Gorilla	Loritta	1	1	0	7	3	4,33	1,24	1,39	0,78	5,11	1,28	5,56	0,86	1,32	3,42	108280,83	27188,58	1	1	1	0,58	0,55	827,58	0,92	0,91	846,92																																																																
Granate	Blafite	1	1	1	7	3	5,25	1,18	4,88	1,71	3,69	1,45	4,5	2	7,47	3,85	323815,1	179947,34	0	0	0	1	1	873,83	0,92	1	924,33																																																																
Karaffe	Karürne	1	0	1	7	3	1,53	0,72	4,78	1,31	4	1,66	5,44	1,25	0,89	1,28	211928,7	155148,66	0	0	0	0,92	0,91	927,08	0,92	0,91	973,5																																																																
Klavier	Draxier	1	1	1	7	2	5,89	0,32	5,5	0,51	4,17	1,5	5,83	0,71	12,32	4,71	388354,45	216934,57	0	0	0	1	1	682,5	1	1	836,17																																																																
Kuckuck	Rulucht	1	1	0	7	2	4,65	1,43	1,35	0,49	2,9	1,26	5,43	1,08	2,25	2,14	57371,37	24019,86	1	1	1	1	1	787,83	0,92	0,91	762,17																																																																
Lüftung	Löttung	1	1	0	7	2	4,72	1,13	2,83	1,65	2,33	1,46	5,44	0,78	0,94	0,86	152813,71	81760,8	0	0	0	0,83	0,82	973,08	0,75	0,73	1127,42																																																																
Oktopus	Wuroput	1	0	0	7	3	1,22	0,42	1,48	0,95	5,05	1,07	4,95	1,4	0,13	0,86	100522,68	75196,74	1	1	1	1	1	891,25	1	1	805,08																																																																
Papagei	Pazagie	1	1	0	7	3	4,87		1,87		5,33		5,92	0,28	3,45	2,14	183473,49	32247,83	1	1	1	1	1	857,08	0,83	0,82	865,58																																																																
Perücke	Nelüpfe	1	0	1	7	3	1,13	0,5	4,25	1,57	4,31	1,62	5,38	0,96	2,92	2,14	338444,53	151455,77	0	0	0	1	1	772,92	0,75	0,73	927,83																																																																
Pfeiler	Kneiles	1	0	0	7	2	1,05		2,4		3,75		5,54	0,83	6,1	4,28	426151,73	211577,22	0	0	0	1	1	764,08	1	1	898,58																																																																
